"","Date","Time","ppm","Lat","Lon"
"1","5/19/74","1:6:45 PM",333.29,19.5362,-155.5763
"2","5/26/74","5:50:03 AM",332.94,19.5362,-155.5763
"3","6/2/74","9:55:51 AM",332.16,19.5362,-155.5763
"4","6/9/74","5:44:08 PM",332.16,19.5362,-155.5763
"5","6/16/74","8:59:35 AM",332.27,19.5362,-155.5763
"6","6/23/74","12:17:00 AM",331.71,19.5362,-155.5763
"7","6/30/74","11:13:37 PM",331.6,19.5362,-155.5763
"8","7/7/74","4:52:34 PM",331.4,19.5362,-155.5763
"9","7/14/74","5:58:01 AM",330.74,19.5362,-155.5763
"10","7/21/74","9:51:35 PM",330.78,19.5362,-155.5763
"11","7/28/74","3:51:04 AM",329.99,19.5362,-155.5763
"12","8/4/74","3:25:19 AM",330,19.5362,-155.5763
"13","8/11/74","12:30:00 PM",329.15,19.5362,-155.5763
"14","8/18/74","12:54:51 PM",328.93,19.5362,-155.5763
"15","8/25/74","11:32:55 PM",328.35,19.5362,-155.5763
"16","9/1/74","7:5:23 PM",327.97,19.5362,-155.5763
"17","9/8/74","7:10:54 PM",327.72,19.5362,-155.5763
"18","9/15/74","3:5:04 AM",326.89,19.5362,-155.5763
"19","9/22/74","12:54:47 AM",326.96,19.5362,-155.5763
"20","9/29/74","11:55:26 PM",327.22,19.5362,-155.5763
"21","10/6/74","10:27:28 AM",326.98,19.5362,-155.5763
"22","10/13/74","1:53:07 AM",327.08,19.5362,-155.5763
"23","10/20/74","11:6:14 AM",327.35,19.5362,-155.5763
"24","10/27/74","11:57:16 PM",327.65,19.5362,-155.5763
"25","11/3/74","11:12:34 PM",327.91,19.5362,-155.5763
"26","11/10/74","3:39:52 AM",328.45,19.5362,-155.5763
"27","11/17/74","4:30:14 AM",328.62,19.5362,-155.5763
"28","11/24/74","7:27:11 AM",328.5,19.5362,-155.5763
"29","12/1/74","8:12:08 PM",328.86,19.5362,-155.5763
"30","12/8/74","8:57:16 PM",329.32,19.5362,-155.5763
"31","12/15/74","9:15:38 PM",329.66,19.5362,-155.5763
"32","12/22/74","1:44:08 AM",329.95,19.5362,-155.5763
"33","12/29/74","7:11:00 PM",330.21,19.5362,-155.5763
"34","1/5/75","12:45:35 AM",330.47,19.5362,-155.5763
"35","1/12/75","6:7:27 PM",330.42,19.5362,-155.5763
"36","1/19/75","11:31:35 PM",330.72,19.5362,-155.5763
"37","1/26/75","10:39:05 PM",331.32,19.5362,-155.5763
"38","2/2/75","9:46:27 AM",331.44,19.5362,-155.5763
"39","2/9/75","8:51:13 PM",331.1,19.5362,-155.5763
"40","2/16/75","10:20:38 PM",331.41,19.5362,-155.5763
"41","2/23/75","4:33:06 PM",331.89,19.5362,-155.5763
"42","3/2/75","4:0:36 AM",331.8,19.5362,-155.5763
"43","3/9/75","8:36:49 PM",331.64,19.5362,-155.5763
"44","3/16/75","9:15:29 AM",332.08,19.5362,-155.5763
"45","3/23/75","12:49:03 AM",331.78,19.5362,-155.5763
"46","3/30/75","6:28:19 PM",333.06,19.5362,-155.5763
"47","4/6/75","10:11:29 PM",333.06,19.5362,-155.5763
"48","4/13/75","11:46:58 PM",333.63,19.5362,-155.5763
"49","4/20/75","6:54:46 PM",333.35,19.5362,-155.5763
"50","4/27/75","6:11:54 AM",333.47,19.5362,-155.5763
"51","5/4/75","4:10:00 PM",333.95,19.5362,-155.5763
"52","5/11/75","2:15:29 PM",334.07,19.5362,-155.5763
"53","5/18/75","7:42:03 PM",333.4,19.5362,-155.5763
"54","5/25/75","5:44:27 PM",334.1,19.5362,-155.5763
"55","6/1/75","7:37:16 PM",333.97,19.5362,-155.5763
"56","6/8/75","3:24:42 PM",333.16,19.5362,-155.5763
"57","6/15/75","9:48:19 AM",333.24,19.5362,-155.5763
"58","6/22/75","6:23:10 PM",333.33,19.5362,-155.5763
"59","6/29/75","6:58:31 PM",332.98,19.5362,-155.5763
"60","7/6/75","9:44:07 PM",332.18,19.5362,-155.5763
"61","7/13/75","3:49:09 AM",331.5,19.5362,-155.5763
"62","7/20/75","6:40:34 PM",331.09,19.5362,-155.5763
"63","7/27/75","2:26:53 AM",330.98,19.5362,-155.5763
"64","8/3/75","2:57:56 AM",330.86,19.5362,-155.5763
"65","8/10/75","6:7:01 AM",330.39,19.5362,-155.5763
"66","8/17/75","2:29:52 AM",329.63,19.5362,-155.5763
"67","8/24/75","4:20:27 AM",328.55,19.5362,-155.5763
"68","8/31/75","6:38:38 AM",329.24,19.5362,-155.5763
"69","9/7/75","6:20:37 PM",329.27,19.5362,-155.5763
"70","9/14/75","11:20:05 PM",327.96,19.5362,-155.5763
"71","9/21/75","3:46:51 PM",328,19.5362,-155.5763
"72","9/28/75","10:45:43 AM",327.94,19.5362,-155.5763
"73","10/12/75","8:23:59 AM",328.39,19.5362,-155.5763
"74","10/19/75","5:51:18 PM",328.65,19.5362,-155.5763
"75","10/26/75","9:35:21 PM",328.63,19.5362,-155.5763
"76","11/2/75","11:37:18 PM",329.03,19.5362,-155.5763
"77","11/9/75","5:12:01 PM",328.99,19.5362,-155.5763
"78","11/16/75","11:55:07 AM",329.37,19.5362,-155.5763
"79","11/23/75","7:11:17 PM",330.17,19.5362,-155.5763
"80","11/30/75","4:46:43 AM",329.72,19.5362,-155.5763
"81","1/4/76","6:18:06 PM",331.32,19.5362,-155.5763
"82","1/11/76","1:2:55 AM",331.61,19.5362,-155.5763
"83","1/18/76","9:11:47 PM",331.75,19.5362,-155.5763
"84","1/25/76","12:53:39 PM",332.12,19.5362,-155.5763
"85","2/1/76","3:3:09 PM",332.57,19.5362,-155.5763
"86","2/8/76","5:44:49 AM",332.46,19.5362,-155.5763
"87","2/15/76","8:6:19 PM",332.57,19.5362,-155.5763
"88","2/22/76","10:52:12 AM",333.51,19.5362,-155.5763
"89","2/29/76","10:37:24 AM",332.03,19.5362,-155.5763
"90","3/7/76","11:22:00 PM",333.02,19.5362,-155.5763
"91","3/14/76","11:48:40 PM",333.59,19.5362,-155.5763
"92","3/21/76","1:19:13 AM",334.19,19.5362,-155.5763
"93","3/28/76","4:24:37 AM",334.64,19.5362,-155.5763
"94","4/4/76","9:58:39 PM",335.05,19.5362,-155.5763
"95","4/11/76","11:44:35 PM",334.25,19.5362,-155.5763
"96","4/18/76","2:37:01 AM",334.74,19.5362,-155.5763
"97","4/25/76","6:32:06 AM",335.05,19.5362,-155.5763
"98","5/2/76","9:17:58 AM",334.36,19.5362,-155.5763
"99","5/9/76","6:21:51 PM",334.28,19.5362,-155.5763
"100","5/16/76","11:42:44 AM",335.18,19.5362,-155.5763
"101","5/23/76","5:50:20 AM",335.3,19.5362,-155.5763
"102","5/30/76","9:16:55 PM",334.41,19.5362,-155.5763
"103","6/6/76","12:31:14 PM",334.45,19.5362,-155.5763
"104","6/13/76","10:31:40 AM",334.21,19.5362,-155.5763
"105","6/20/76","2:30:55 PM",333.72,19.5362,-155.5763
"106","7/4/76","6:0:03 AM",333.58,19.5362,-155.5763
"107","7/11/76","9:23:45 PM",333.15,19.5362,-155.5763
"108","7/18/76","2:8:48 PM",332.32,19.5362,-155.5763
"109","7/25/76","9:40:40 AM",332.23,19.5362,-155.5763
"110","8/1/76","1:24:47 AM",331.77,19.5362,-155.5763
"111","8/8/76","7:55:24 PM",330.94,19.5362,-155.5763
"112","8/15/76","4:2:34 AM",330.13,19.5362,-155.5763
"113","8/22/76","4:32:28 AM",330.1,19.5362,-155.5763
"114","8/29/76","2:22:34 PM",329.83,19.5362,-155.5763
"115","9/5/76","12:20:01 PM",329.61,19.5362,-155.5763
"116","9/12/76","12:16:51 AM",329.4,19.5362,-155.5763
"117","9/19/76","8:44:10 PM",328.12,19.5362,-155.5763
"118","9/26/76","10:20:01 PM",328.3,19.5362,-155.5763
"119","10/3/76","2:45:13 AM",328.46,19.5362,-155.5763
"120","10/10/76","1:54:18 PM",328.31,19.5362,-155.5763
"121","10/17/76","11:20:46 AM",329.41,19.5362,-155.5763
"122","10/24/76","9:21:05 AM",328.81,19.5362,-155.5763
"123","10/31/76","5:35:34 PM",329.5,19.5362,-155.5763
"124","11/7/76","1:29:49 PM",330.35,19.5362,-155.5763
"125","11/14/76","4:56:39 PM",330.19,19.5362,-155.5763
"126","11/21/76","4:53:47 AM",330.57,19.5362,-155.5763
"127","11/28/76","10:25:41 PM",330.66,19.5362,-155.5763
"128","12/5/76","12:37:39 AM",331.19,19.5362,-155.5763
"129","12/12/76","9:20:38 AM",332.26,19.5362,-155.5763
"130","12/19/76","11:53:30 PM",331.71,19.5362,-155.5763
"131","12/26/76","9:13:26 PM",332.36,19.5362,-155.5763
"132","1/2/77","2:43:02 AM",332.16,19.5362,-155.5763
"133","1/9/77","7:14:15 AM",332.6,19.5362,-155.5763
"134","1/16/77","5:54:59 AM",333.03,19.5362,-155.5763
"135","1/23/77","9:6:06 AM",332.97,19.5362,-155.5763
"136","1/30/77","9:45:50 PM",332.98,19.5362,-155.5763
"137","2/6/77","5:48:14 PM",333.31,19.5362,-155.5763
"138","2/13/77","7:55:02 PM",333.29,19.5362,-155.5763
"139","2/20/77","8:41:16 PM",333.11,19.5362,-155.5763
"140","2/27/77","6:54:52 PM",334.32,19.5362,-155.5763
"141","3/6/77","1:21:55 PM",334.28,19.5362,-155.5763
"142","3/13/77","12:53:09 PM",335.39,19.5362,-155.5763
"143","3/20/77","4:56:52 AM",335.25,19.5362,-155.5763
"144","3/27/77","2:14:20 AM",335.28,19.5362,-155.5763
"145","4/3/77","7:49:21 PM",335.96,19.5362,-155.5763
"146","4/10/77","11:52:09 PM",335.96,19.5362,-155.5763
"147","4/17/77","12:42:09 AM",336.21,19.5362,-155.5763
"148","4/24/77","12:28:29 AM",336.23,19.5362,-155.5763
"149","5/1/77","4:17:40 AM",336.77,19.5362,-155.5763
"150","5/8/77","6:4:09 AM",336.65,19.5362,-155.5763
"151","5/15/77","12:38:01 AM",336.96,19.5362,-155.5763
"152","5/22/77","10:37:41 AM",336.93,19.5362,-155.5763
"153","5/29/77","10:22:16 PM",336.58,19.5362,-155.5763
"154","6/5/77","1:52:53 AM",336.17,19.5362,-155.5763
"155","6/12/77","12:1:07 AM",336.1,19.5362,-155.5763
"156","6/19/77","4:59:39 AM",336.11,19.5362,-155.5763
"157","6/26/77","3:18:33 PM",335.68,19.5362,-155.5763
"158","7/3/77","1:44:51 PM",335.39,19.5362,-155.5763
"159","7/10/77","11:57:43 AM",334.95,19.5362,-155.5763
"160","7/17/77","9:48:52 PM",334.6,19.5362,-155.5763
"161","7/24/77","8:6:51 AM",334.13,19.5362,-155.5763
"162","7/31/77","7:33:03 PM",333.37,19.5362,-155.5763
"163","8/7/77","9:55:39 AM",332.62,19.5362,-155.5763
"164","8/14/77","3:58:09 PM",332.53,19.5362,-155.5763
"165","8/21/77","5:46:36 PM",331.93,19.5362,-155.5763
"166","8/28/77","8:11:21 PM",332.04,19.5362,-155.5763
"167","9/4/77","6:45:28 PM",331.3,19.5362,-155.5763
"168","9/11/77","2:48:28 AM",331.45,19.5362,-155.5763
"169","9/18/77","2:47:37 AM",330.79,19.5362,-155.5763
"170","9/25/77","6:20:49 PM",330.81,19.5362,-155.5763
"171","10/2/77","1:6:24 AM",330.85,19.5362,-155.5763
"172","10/9/77","11:0:31 PM",331.17,19.5362,-155.5763
"173","10/16/77","6:39:01 PM",331.34,19.5362,-155.5763
"174","10/23/77","11:43:11 PM",331.35,19.5362,-155.5763
