Site,Plot,Sub,Tag,TreeID,Num,Spp,X,Y,Date11,DBH11,DBH12,Date_Core_Collected11,Date12,Date_Core_Collect12
H,6,A,1501,H6A1501,1,PRSE2,1.2,0.6,7/10/11,24.8,24.75,7/10/11,7/2/12,7/2/12
H,6,A,1502,H6A1502,1,ACRU,0.2,2,7/10/11,24.2,24.5,7/10/11,7/2/12,7/2/12
H,6,A,1503,H6A1503,1,BEAL2,2.7,0.5,7/10/11,6.15,6.2,NA,7/2/12,NA
H,6,A,1504,H6A1504,1,QUVE,4.9,2.5,7/10/11,13.45,13.4,NA,7/2/12,NA
H,6,A,1505,H6A1505,1,ACRU,3.9,3.4,7/10/11,16.75,16.75,7/10/11,7/2/12,7/2/12
H,6,A,1506,H6A1506,1,BEAL2,5.7,3.2,7/10/11,17.2,17.2,7/10/11,7/2/12,7/2/12
H,6,A,1507,H6A1507,1,TSCA,8.2,5.5,7/10/11,30.1,30.4,7/10/11,7/2/12,7/2/12
H,6,A,1507,H6A1507,2,TSCA,8.2,5.5,7/10/11,30.2,30.3,7/10/11,7/2/12,NA
H,6,A,1508,H6A1508,1,ACRU,12.6,2.1,7/10/11,15.95,16.1,7/10/11,7/2/12,7/2/12
H,6,A,1509,H6A1509,1,TSCA,13,6.1,7/10/11,14.7,15,NA,7/2/12,7/2/12
H,6,A,1510,H6A1510,1,BEAL2,12.8,6.4,7/10/11,11.9,11.9,NA,7/2/12,NA
H,6,A,1511,H6A1511,1,ACRU,9.5,7.5,7/10/11,7.4,7.3,NA,7/2/12,NA
H,6,A,1512,H6A1512,1,BEAL2,10.5,7.8,7/10/11,14.05,14.05,NA,7/2/12,NA
H,6,A,1513,H6A1513,1,BEAL2,10.8,8.7,7/10/11,30.6,30.7,7/10/11,7/2/12,7/2/12
H,6,A,1514,H6A1514,1,TSCA,10.5,9,7/10/11,20.3,20.65,7/10/11,7/2/12,7/2/12
H,6,A,1514,H6A1514,2,TSCA,10.5,9,7/10/11,5.1,4.8,7/10/11,7/2/12,NA
H,6,A,1515,H6A1515,1,TSCA,12.3,9.5,7/10/11,11.5,11.4,NA,7/2/12,NA
H,6,A,1515,H6A1515,2,TSCA,12.3,9.5,7/10/11,8.9,9,NA,7/2/12,NA
H,6,A,1516,H6A1516,1,TSCA,14.4,8.7,7/10/11,10.3,10.5,NA,7/2/12,NA
H,6,A,1517,H6A1517,1,BEAL2,14.1,9,7/10/11,20.8,21.15,7/10/11,7/2/12,7/2/12
H,6,A,1518,H6A1518,1,BEAL2,14.1,9.4,7/10/11,6.7,6.7,NA,7/2/12,NA
H,6,A,1519,H6A1519,1,QURU,13.6,10.9,7/10/11,13.5,13.55,NA,7/2/12,NA
H,6,A,1520,H6A1520,1,ACRU,14.2,12.4,7/10/11,16.6,16.9,7/10/11,7/2/12,7/2/12
H,6,A,1522,H6A1522,1,BEAL2,10.1,11.1,7/10/11,9.9,10.3,NA,7/2/12,NA
H,6,A,1523,H6A1523,1,TSCA,9.8,11.3,7/10/11,17.4,17.5,7/10/11,7/2/12,7/2/12
H,6,A,1524,H6A1524,1,ACRU,9.2,14.2,7/10/11,8.7,8.9,NA,7/2/12,NA
H,6,A,1525,H6A1525,1,QURU,7.6,14.3,7/10/11,28,28.3,7/10/11,7/2/12,7/2/12
