time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2013-01-30 00:00:00,0,273.53,-1.43,95.24,6.23,0,0
2013-01-30 01:00:00,0,273.53,-1.64,95.53,6.47,0.002,0
2013-01-30 02:00:00,0,273.53,-1.86,95.89,6.72,0.003,0
2013-01-30 03:00:00,0,317.29,-2.07,96.18,6.96,0,0
2013-01-30 04:00:00,0,317.29,-1.65,96.29,6.91,0.003,0
2013-01-30 05:00:00,0,317.3,-1.24,96.38,6.87,0.006,0
2013-01-30 06:00:00,0,326.91,-0.82,96.33,6.85,0.01,0
2013-01-30 07:00:00,0,326.91,-0.49,96.31,6.48,0.017,0
2013-01-30 08:00:00,0,326.92,-0.16,96.23,6.11,0.015,0
2013-01-30 09:00:00,0,310.5,0.16,96.17,5.75,0,0
2013-01-30 10:00:00,0,310.51,0.35,96.02,5.96,0,0
2013-01-30 11:00:00,0,310.51,0.53,95.94,6.19,0,0
2013-01-30 12:00:00,0,296.2,0.71,95.84,6.44,0,0
2013-01-30 13:00:00,79.7,296.2,1.24,94.37,6.57,0,0
2013-01-30 14:00:00,166.72,296.21,1.76,92.96,6.73,0,0
2013-01-30 15:00:00,253.95,301.18,2.28,91.54,6.93,0,0
2013-01-30 16:00:00,311.21,301.19,3.04,90.04,7.36,0,0
2013-01-30 17:00:00,344.76,301.19,3.79,88.53,7.8,0,0
2013-01-30 18:00:00,267.81,329.77,4.54,86.96,8.24,0,0
2013-01-30 19:00:00,220.64,329.78,4.97,87.21,7.97,0,0
2013-01-30 20:00:00,158.71,329.79,5.4,87.37,7.71,0,0
2013-01-30 21:00:00,71.37,324.57,5.83,87.45,7.48,0.014,0
2013-01-30 22:00:00,0,324.57,5.92,88.13,7.21,0,0
2013-01-30 23:00:00,0,324.57,6,88.85,6.99,0.005,0
2013-01-31 00:00:00,0,350.77,6.08,89.55,6.82,0.008,0
2013-01-31 01:00:00,0,350.77,5.75,90.51,6.09,0.006,0
2013-01-31 02:00:00,0,350.76,5.42,91.46,5.44,0,0
2013-01-31 03:00:00,0,348.1,5.09,92.42,4.89,0,0
2013-01-31 04:00:00,0,348.1,5.29,91.97,5.37,0,0
2013-01-31 05:00:00,0,348.1,5.49,91.51,5.87,0.004,0
2013-01-31 06:00:00,0,346.89,5.69,91.05,6.42,0.054,0
2013-01-31 07:00:00,0,346.89,5.79,90.81,7,0.06,0
2013-01-31 08:00:00,0,346.89,5.9,90.52,7.6,0.051,0
2013-01-31 09:00:00,0,343.06,6.01,90.21,8.22,0.026,0
2013-01-31 10:00:00,0,343.06,6.42,90.03,8.08,0.094,0
2013-01-31 11:00:00,0,343.07,6.83,89.78,8.18,0.197,0
2013-01-31 12:00:00,0,340.49,7.23,89.54,8.53,0.068,0
2013-01-31 13:00:00,34.76,340.48,6.99,87.22,7.81,0.026,0
2013-01-31 14:00:00,71.91,340.48,6.74,84.85,9.3,0.01,0
2013-01-31 15:00:00,175.99,292.34,6.49,82.37,12.23,0.004,0
2013-01-31 16:00:00,215.47,292.32,4.9,80.01,11.97,0,0
2013-01-31 17:00:00,238.68,292.3,3.3,76.09,11.71,0,0
2013-01-31 18:00:00,273.9,267.22,1.7,70.16,11.46,0,0
2013-01-31 19:00:00,226.04,267.21,0.97,70.33,11.04,0,0
2013-01-31 20:00:00,163.27,267.2,0.24,70.33,10.61,0,0
2013-01-31 21:00:00,80.97,242.77,-0.49,70.12,10.18,0,0
2013-01-31 22:00:00,0,242.77,-1.16,69.46,10.26,0,0
2013-01-31 23:00:00,0,242.76,-1.84,68.62,10.33,0,0
2013-02-01 00:00:00,0,253.63,-2.51,67.47,10.41,0.001,0
2013-02-01 01:00:00,0,253.62,-2.94,65.57,10.49,0,0
2013-02-01 02:00:00,0,253.61,-3.37,63.48,10.57,0,0
2013-02-01 03:00:00,0,225.48,-3.81,61.2,10.64,0,0
2013-02-01 04:00:00,0,225.48,-4.12,60.68,10.52,0,0
2013-02-01 05:00:00,0,225.47,-4.43,60.1,10.4,0,0
2013-02-01 06:00:00,0,208.69,-4.74,59.47,10.29,0,0
2013-02-01 07:00:00,0,208.7,-4.62,59.12,9.63,0,0
2013-02-01 08:00:00,0,208.7,-4.51,58.82,8.98,0,0
2013-02-01 09:00:00,0,223.08,-4.39,58.47,8.33,0.001,0
2013-02-01 10:00:00,0,223.08,-4.54,57.98,8.04,0,0
2013-02-01 11:00:00,0,223.08,-4.69,57.46,7.78,0,0
2013-02-01 12:00:00,0,219.84,-4.84,56.93,7.53,0,0
2013-02-01 13:00:00,76.64,219.84,-5.06,54.52,7.64,0,0
2013-02-01 14:00:00,156.77,219.84,-5.28,52.01,7.84,0,0
2013-02-01 15:00:00,170.26,242.45,-5.49,49.36,8.13,0,0
2013-02-01 16:00:00,212.42,242.45,-5.99,49.04,8.22,0,0
2013-02-01 17:00:00,223.12,242.44,-6.49,48.64,8.32,0,0
2013-02-01 18:00:00,329.44,219.61,-6.99,48.13,8.42,0,0
2013-02-01 19:00:00,271.22,219.61,-7.16,47.26,8.34,0,0
2013-02-01 20:00:00,188.07,219.61,-7.33,46.36,8.29,0,0
2013-02-01 21:00:00,63.61,211.29,-7.5,45.41,8.26,0,0
2013-02-01 22:00:00,0,211.29,-7.96,46.23,8.2,0,0
2013-02-01 23:00:00,0,211.28,-8.42,47.05,8.15,0,0
2013-02-02 00:00:00,0,225.99,-8.88,47.88,8.11,0,0
2013-02-02 01:00:00,0,225.99,-9.17,51.97,7.7,0,0
2013-02-02 02:00:00,0,225.99,-9.46,56.24,7.32,0,0
2013-02-02 03:00:00,0,232.56,-9.75,60.68,6.93,0,0
2013-02-02 04:00:00,0,232.56,-10.12,61.09,7.2,0,0
2013-02-02 05:00:00,0,232.56,-10.49,61.48,7.46,0,0
2013-02-02 06:00:00,0,187.62,-10.85,61.79,7.74,0,0
2013-02-02 07:00:00,0,187.62,-11.02,64.34,6.81,0,0
2013-02-02 08:00:00,0,187.62,-11.18,66.9,5.89,0,0
2013-02-02 09:00:00,0,168.36,-11.34,69.51,4.99,0,0
2013-02-02 10:00:00,0,168.36,-11.63,72.47,4.19,0,0
2013-02-02 11:00:00,0,168.36,-11.92,75.54,3.4,0,0
2013-02-02 12:00:00,0,202.99,-12.21,78.71,2.63,0,0
2013-02-02 13:00:00,96.07,203,-11.34,75.58,1.89,0,0
2013-02-02 14:00:00,194.34,203.01,-10.46,72.48,1.83,0,0
2013-02-02 15:00:00,261.11,236.35,-9.59,69.56,2.51,0,0
2013-02-02 16:00:00,325.45,236.36,-8.66,67.49,3.34,0,0
2013-02-02 17:00:00,341.8,236.37,-7.73,65.39,4.2,0,0
2013-02-02 18:00:00,371.56,236.45,-6.8,63.3,5.09,0,0
2013-02-02 19:00:00,306.4,236.45,-6.1,60.74,5.5,0,0
2013-02-02 20:00:00,213.31,236.46,-5.4,58.3,5.91,0,0
2013-02-02 21:00:00,85.55,264.45,-4.69,55.92,6.32,0,0
2013-02-02 22:00:00,0,264.45,-4.91,58.94,5.39,0,0
2013-02-02 23:00:00,0,264.45,-5.13,62.04,4.55,0,0
2013-02-03 00:00:00,0,261.61,-5.34,65.19,3.86,0,0
2013-02-03 01:00:00,0,261.6,-5.7,60.78,3.42,0,0
2013-02-03 02:00:00,0,261.6,-6.05,56.03,3.06,0,0
2013-02-03 03:00:00,0,257.52,-6.41,51.03,2.79,0,0
2013-02-03 04:00:00,0,257.52,-6.61,52.73,2.63,0,0
2013-02-03 05:00:00,0,257.52,-6.82,54.5,2.67,0,0
2013-02-03 06:00:00,0,220.11,-7.03,56.33,2.89,0,0
2013-02-03 07:00:00,0,220.11,-7.18,59.05,1.76,0,0
2013-02-03 08:00:00,0,220.11,-7.33,61.82,0.67,0,0
2013-02-03 09:00:00,0,217.63,-7.48,64.66,0.65,0,0
2013-02-03 10:00:00,0,217.63,-7.78,64.76,1.08,0,0
2013-02-03 11:00:00,0,217.63,-8.08,64.84,1.57,0,0
2013-02-03 12:00:00,0,218.14,-8.38,64.88,2.08,0,0
2013-02-03 13:00:00,102.79,218.15,-7.92,62.74,1.94,0,0
2013-02-03 14:00:00,205.63,218.15,-7.47,60.71,1.99,0,0
2013-02-03 15:00:00,301.34,224.91,-7.02,58.76,2.22,0,0
2013-02-03 16:00:00,375.2,224.91,-6.44,57.13,2.33,0,0
2013-02-03 17:00:00,393.99,224.92,-5.86,55.54,2.55,0,0
2013-02-03 18:00:00,323.52,238.99,-5.28,53.99,2.85,0,0
2013-02-03 19:00:00,267.21,238.99,-5.06,53.72,2.02,0,0
2013-02-03 20:00:00,186.74,238.99,-4.83,53.39,1.2,0,0
2013-02-03 21:00:00,69.98,262.61,-4.61,53.11,0.38,0,0
2013-02-03 22:00:00,0,262.61,-4.77,54.57,0.12,0,0
2013-02-03 23:00:00,0,262.61,-4.93,56.06,0.62,0,0
2013-02-04 00:00:00,0,272.14,-5.1,57.63,1.11,0,0
2013-02-04 01:00:00,0,272.14,-5.18,56.5,1.39,0,0
2013-02-04 02:00:00,0,272.14,-5.26,55.36,1.66,0,0
2013-02-04 03:00:00,0,269.64,-5.34,54.2,1.93,0,0
2013-02-04 04:00:00,0,269.64,-5.6,55.75,2.59,0,0
2013-02-04 05:00:00,0,269.64,-5.86,57.35,3.25,0,0
2013-02-04 06:00:00,0,246.87,-6.12,58.98,3.92,0,0
2013-02-04 07:00:00,0,246.87,-6.11,61.02,3.53,0,0
2013-02-04 08:00:00,0,246.87,-6.1,63.04,3.14,0,0
2013-02-04 09:00:00,0,247.16,-6.09,65.06,2.77,0,0
2013-02-04 10:00:00,0,247.16,-6.36,66.22,3.6,0,0
2013-02-04 11:00:00,0,247.15,-6.63,67.4,4.45,0,0
2013-02-04 12:00:00,0,224.65,-6.9,68.6,5.28,0,0
2013-02-04 13:00:00,108.36,224.65,-6.64,63.91,6.08,0,0
